N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
37,S-Oil,"75,200",200,+0.27%,"2,500","84,662","112,583",76.00,"960,345",-10.08,1.01,
38,한국조선해양,"118,500",0,0.00%,"5,000","83,866","70,773",16.36,"451,007",392.38,1.40,
39,고려아연,"439,500","3,000",-0.68%,"5,000","82,934","18,870",23.69,"106,864",14.81,9.76,
40,포스코케미칼,"130,500","1,500",+1.16%,500,"79,590","60,988",7.23,"712,433",296.59,11.57,
41,현대글로비스,"201,000","1,500",+0.75%,500,"75,375","37,500",35.69,"2,386,564",11.30,11.25,
42,우리금융지주,"9,910",70,+0.71%,"5,000","71,577","722,268",24.88,"3,063,825",5.31,N/A,
43,LG디스플레이,"20,000",100,+0.50%,"5,000","71,563","357,816",23.82,"4,898,739",-2.91,-22.35,
44,신풍제약,"131,500",0,0.00%,500,"69,675","52,985",12.10,"2,320,682","3,652.78",0.80,
45,미래에셋대우,"10,150",150,+1.50%,"5,000","65,500","645,316",14.35,"5,479,181",10.61,7.56,
46,기업은행,"8,830",40,-0.45%,"5,000","65,224","738,664",10.27,"4,103,646",4.51,7.36,
47,KODEX 200,"43,545","1,845",+4.42%,0,"65,187","149,700",16.35,"11,495,626",N/A,N/A,
48,CJ제일제당,"432,500","27,500",+6.79%,"5,000","65,109","15,054",24.52,"282,582",8.98,3.16,
49,KT,"24,400",250,-1.01%,"5,000","63,711","261,112",44.06,"2,920,679",10.40,4.61,
50,현대제철,"46,750","2,300",+5.17%,"5,000","62,386","133,446",19.44,"4,453,708",-25.33,0.10,
51,빅히트,"160,500","3,500",+2.23%,500,"57,176","35,624",3.63,"282,939",N/A,56.47,
52,한미사이언스,"84,800","5,700",-6.30%,500,"55,977","66,011",1.55,"764,269",385.45,4.73,
53,코웨이,"74,100",700,+0.95%,500,"54,686","73,800",60.46,"406,865",15.31,30.74,
54,LG유플러스,"12,450",0,0.00%,"5,000","54,358","436,611",30.22,"6,427,768",6.86,6.30,
55,두산중공업,"14,200",50,+0.35%,"5,000","53,198","374,637",11.01,"4,379,892",-3.06,-14.73,
56,HMM,"15,750",400,-2.48%,"5,000","51,459","326,726",7.35,"8,774,476",-50.81,-55.46,
57,강원랜드,"24,000",600,+2.56%,500,"51,346","213,940",22.17,"1,583,102",-27.03,9.16,
58,유한양행,"76,700","1,800",+2.40%,"1,000","51,279","66,857",20.54,"942,653",29.55,2.43,
59,금호석유,"167,500","4,500",-2.62%,"5,000","51,033","30,468",28.89,"501,445",14.33,11.84,
60,오리온,"127,500","4,000",+3.24%,500,"50,409","39,536",41.75,"339,251",18.41,14.24,
61,한국금융지주,"89,800","1,200",+1.35%,"5,000","50,042","55,726",30.03,"756,131",8.22,18.14,
